58,SC,Lexus,1997,WDDJK7DA9EF517270,Turquoise,false
7,CC,Volkswagen,2011,5UMDU93527L020546,Mauv,true
50,Century,Buick,1987,3D7TP2CT2BG842434,Goldenrod,true
31,Tundra,Toyota,2009,5NPDH4AE1FH651905,Yellow,false
66,Eclipse,Mitsubishi,2001,5TDBK3EH0DS841998,Puce,false
47,GTO,Mitsubishi,1992,YV1612FH0E1597436,Pink,true
27,GTO,Pontiac,1969,3D7TT2CT2AG535839,Turquoise,false
21,Murciélago,Lamborghini,2010,1GYFC43539R093342,Indigo,true
97,Taurus,Ford,1990,1FTEW1C80AK745667,Purple,true
83,Rabbit,Volkswagen,2010,1D7RW2GK5BS801965,Turquoise,false
11,Sorento,Kia,2007,2C4RRGAGXER264020,Khaki,true
58,Savana 3500,GMC,2001,1B3CB9HA5BD398778,Maroon,true
65,Lucerne,Buick,2008,1C3BC5EDXAN763225,Green,true
87,CX-7,Mazda,2007,1FADP3E2XFL209459,Purple,false
24,Century,Buick,2003,2C3CCARG8EH556171,Pink,true
92,8 Series,BMW,1993,WBAEP33473P949569,Aquamarine,false
28,Rockette,Fairthorpe,1960,1FTWF3B51AE769367,Goldenrod,true
98,A4,Audi,2008,2C3CCAGG6FH595572,Aquamarine,true
93,Civic,Honda,2009,1FMJK1JT6FE317590,Purple,true
25,A4,Audi,2009,WAUBGAFB6BN241583,Green,true
97,xA,Scion,2004,2V4RW3D17AR748218,Orange,false
10,Z4,BMW,2004,2T1BU4EEXDC375446,Mauv,true
8,Civic,Honda,2000,WA1UFAFL3EA471336,Mauv,true
89,Tracker,Chevrolet,2004,KNDJT2A52C7405189,Orange,true
79,Express 3500,Chevrolet,2002,WVGAV7AX8FW124688,Aquamarine,true
65,Regal,Buick,2000,YV4952CF6E1295074,Indigo,false
3,Sable,Mercury,1997,5YMGZ0C57D0815952,Indigo,true
17,Montero,Mitsubishi,2004,2FMDK3JC1AB079709,Teal,true
69,DB9,Aston Martin,2010,WBAEU334X2K772245,Aquamarine,true
44,Ram Van B250,Dodge,1992,1C6RD6HT3CS236848,Green,true
4,Grand Vitara,Suzuki,2005,WAUEL94F95N319937,Turquoise,false
12,A4,Audi,2006,WA1CFAFP7CA937927,Turquoise,true
64,Optima,Kia,2005,1FBNE3BL3ED032992,Turquoise,false
98,62,Maybach,2003,2T1BU4EE9DC131769,Turquoise,false
82,Ram Van 2500,Dodge,2001,JH4CU4F49AC103774,Violet,true
